Supermercado,Producto,Precio,URL
DIA,Leche Entera DIA Larga Vida 1 Lt.,$ 1.390,https://diaonline.supermercadosdia.com.ar/leche-entera-dia-larga-vida-1-lt-608/p
DIA,Leche Semi Descremada DIA Larga Vida 1 Lt.,$ 1.390,https://diaonline.supermercadosdia.com.ar/leche-semi-descremada-dia-larga-vida-1-lt-504/p
DIA,Leche Chocolatada Ilolay 1 Lt.,$ 2.300,https://diaonline.supermercadosdia.com.ar/leche-chocolatada-ilolay-1-lt-51124/p
DIA,Leche Parcialmente Descremada DIA Sachet 1 Lt.,$ 1.390,https://diaonline.supermercadosdia.com.ar/leche-parcialmente-descremada-dia-sachet-1-lt-30112/p
DIA,Leche Entera DIA Sachet 1 Lt.,$ 1.390,https://diaonline.supermercadosdia.com.ar/leche-entera-dia-sachet-1-lt-30111/p
DIA,Leche Condensada Dia 395 Gr.,$ 2.300,https://diaonline.supermercadosdia.com.ar/leche-condensada-dia-395-gr-1665/p
DIA,Leche 0% Lactosa Parcialmente Descremada Dia 1 Lt.,$ 1.850,https://diaonline.supermercadosdia.com.ar/leche-0--lactosa-parcialmente-descremada-dia-1-lt-291408/p
DIA,Leche Ultrapasteurizada 2% Dia 1 Lt.,$ 1.390,https://diaonline.supermercadosdia.com.ar/leche-ultrapasteurizada-2--dia-1-lt-269231/p
